,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan
242,EBI-2009-09c,N Japan,44,144.1,0,0,0,1,0,0,0,0
243,EBI-2009-09d,N Japan,44,144.1,0,0,0,1,0,0,0,0
244,EBI-2009-09e,N Japan,44,144.1,0,0,0,1,0,0,0,0
245,EBI-2009-11a,N Japan,44,144.1,0,0,0,1,0,0,0,0
246,EBI-2009-14f,N Japan,42.8,141.9,0,0,0,1,0,0,0,0
247,EBI-2009-14g,N Japan,42.8,141.9,0,0,0,1,0,0,0,0
248,EBI-2009-14h,N Japan,42.8,141.9,0,0,0.1,0.9,0,0,0,0
249,EBI-2009-14i,N Japan,42.8,141.9,0,0,0,0.9,0,0,0,0
250,EBI-2009-16a,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
251,EBI-2009-16c,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
252,EBI-2009-16d,N Japan,42.7,141.6,0,0,0,0.9,0,0,0,0
253,EBI-2009-17a,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
254,EBI-2009-18a,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
255,EBI-2009-18b,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
256,EBI-2009-18d,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
257,EBI-2009-18e,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
258,EBI-2009-19e,N Japan,42.7,141.6,0,0,0,1,0,0,0,0
259,EBI-2009-20a,N Japan,42.4,142.5,0,0,0.1,0.9,0,0,0,0
260,EBI-2009-20b,N Japan,42.4,142.5,0,0,0.1,0.9,0,0,0,0
261,EBI-2009-21f,N Japan,42.4,142.5,0,0,0.1,0.9,0,0,0,0
262,EBI-2009-21g,N Japan,42.4,142.5,0,0,0,1,0,0,0,0
263,EBI-2009-23f,N Japan,45,142.1,0,0,0,1,0,0,0,0
264,EBI-2009-23g,N Japan,45,142.1,0,0,0,1,0,0,0,0
265,EBI-2009-23h,N Japan,45,142.1,0,0,0,1,0,0,0,0
266,EBI-2009-25a,N Japan,41.8,140.1,0,0,0.1,0.9,0,0,0,0
267,EBI-2009-25b,N Japan,41.8,140.1,0,0,0.1,0.9,0,0,0,0
268,EBI-2009-25c,N Japan,41.8,140.1,0,0,0.1,0.9,0,0,0,0
269,EBI-2009-26a,N Japan,44.9,142.2,0,0,0.1,0.9,0,0,0,0
270,Gifu-2010-001,Msa,35.4,136.8,0,0,0,0,0,0,1,0
271,Gifu-2010-002,Msa,35.5,136.8,0,0.1,0,0,0,0,0.9,0
272,Gifu-2010-003b,Central Japan,35.5,136.7,0,0,0.7,0,0,0.3,0,0
273,Gifu-2010-003c,Central Japan,35.5,136.7,0,0,0.7,0,0,0.3,0,0
274,Gifu-2010-003d,Central Japan,35.5,136.7,0,0,0.6,0,0,0.3,0,0
275,Gifu-2010-003e,Central Japan,35.5,136.7,0,0,0.6,0.1,0,0.3,0,0
276,Gifu-2010-005,Msa,35.5,136.7,0,0,0,0,0.1,0,0.9,0
277,Gifu-2010-006a,Central Japan,35.5,136.7,0,0,0.6,0,0,0.4,0,0
278,Gifu-2010-006b,Central Japan,35.5,136.7,0,0,0.6,0,0,0.4,0,0
279,Gifu-2010-006c,Central Japan,35.5,136.7,0,0,0.6,0.1,0,0.3,0,0
280,Gifu-2010-006d,Central Japan,35.5,136.7,0,0,0.6,0.1,0,0.4,0,0
281,Gifu-2010-006e,Central Japan,35.5,136.7,0,0,0.6,0.1,0,0.3,0,0
282,Gifu-2010-007,Msa,35.4,136.8,0,0,0.1,0,0,0,0.9,0
283,Gifu-2010-008,Msa,35.4,136.8,0.1,0,0,0,0,0,0.9,0
284,Gifu-2010-010a,Central Japan,36.3,136.9,0,0,0.7,0.1,0,0.3,0,0
285,Gifu-2010-010b,Central Japan,36.3,136.9,0,0,0.7,0,0,0.3,0,0
286,Gifu-2010-010-B30a,Central Japan,36.3,136.9,0,0,0.6,0.1,0,0.3,0,0
287,Gifu-2010-010-B30b,Central Japan,36.3,136.9,0,0,0.7,0.1,0,0.2,0,0
288,Gifu-2010-010-B30c,Central Japan,36.3,136.9,0,0,0.7,0.1,0,0.2,0,0
289,Gifu-2010-010-B30d,Central Japan,36.3,136.9,0,0,0.7,0.1,0,0.2,0,0
290,Gifu-2010-010-B30e,Central Japan,36.3,136.9,0,0,0.7,0.1,0,0.2,0,0
291,Gifu-2010-010c,Central Japan,36.3,136.9,0,0,0.8,0,0,0.2,0,0
292,Gifu-2010-010e,Central Japan,36.3,136.9,0,0,0.7,0.1,0,0.3,0,0
293,Gifu-2010-011,Msa,36.3,136.9,0,0,0,0,0,0,0.9,0
294,Gifu-2010-011a,Msa,36.3,136.9,0,0,0,0,0,0,1,0
295,Gifu-2010-011b,Msa,36.3,136.9,0,0,0,0,0,0,1,0
296,Gifu-2010-011c,Msa,36.3,136.9,0,0,0,0,0,0,1,0
297,Gifu-2010-011d,Msa,36.3,136.9,0,0,0,0,0,0,0.9,0
