"","names","x","Ind.SNP","PC","Trait"
"361","CI.mean.0.95",0.00820077853179214,"C106","NOPC","AIL "
"362","var",0.00170817301209008,"C106","NOPC","AIL "
"363","std.dev",0.0413300497470071,"C106","NOPC","AIL "
"364","coef.var",0.127232171737952,"C106","NOPC","AIL "
"365","nbr.val",100,"C106","NOPC","Bcirc_cm "
"366","nbr.null",0,"C106","NOPC","Bcirc_cm "
"367","nbr.na",0,"C106","NOPC","Bcirc_cm "
"368","min",0.394869686418563,"C106","NOPC","Bcirc_cm "
"369","max",0.49338962876661,"C106","NOPC","Bcirc_cm "
"370","range",0.098519942348047,"C106","NOPC","Bcirc_cm "
"371","sum",44.7714027988915,"C106","NOPC","Bcirc_cm "
"372","median",0.449192028018063,"C106","NOPC","Bcirc_cm "
"373","mean",0.447714027988915,"C106","NOPC","Bcirc_cm "
"374","SE.mean",0.00180361282809386,"C106","NOPC","Bcirc_cm "
"375","CI.mean.0.95",0.00357875914760255,"C106","NOPC","Bcirc_cm "
"376","var",0.000325301923366472,"C106","NOPC","Bcirc_cm "
"377","std.dev",0.0180361282809386,"C106","NOPC","Bcirc_cm "
"378","coef.var",0.0402849300075652,"C106","NOPC","Bcirc_cm "
"379","nbr.val",100,"C106","NOPC","CCirc_cm "
"380","nbr.null",0,"C106","NOPC","CCirc_cm "
"381","nbr.na",0,"C106","NOPC","CCirc_cm "
"382","min",0.23320701865839,"C106","NOPC","CCirc_cm "
"383","max",0.385450058420054,"C106","NOPC","CCirc_cm "
"384","range",0.152243039761664,"C106","NOPC","CCirc_cm "
"385","sum",32.6773994743584,"C106","NOPC","CCirc_cm "
"386","median",0.328815739600772,"C106","NOPC","CCirc_cm "
"387","mean",0.326773994743584,"C106","NOPC","CCirc_cm "
"388","SE.mean",0.00273171844543884,"C106","NOPC","CCirc_cm "
"389","CI.mean.0.95",0.00542032204640104,"C106","NOPC","CCirc_cm "
"390","var",0.00074622856651508,"C106","NOPC","CCirc_cm "
"391","std.dev",0.0273171844543884,"C106","NOPC","CCirc_cm "
"392","coef.var",0.0835965679454508,"C106","NOPC","CCirc_cm "
"393","nbr.val",100,"C106","NOPC","CmDW.V "
"394","nbr.null",0,"C106","NOPC","CmDW.V "
"395","nbr.na",0,"C106","NOPC","CmDW.V "
"396","min",0.483733426475751,"C106","NOPC","CmDW.V "
"397","max",0.615691250286759,"C106","NOPC","CmDW.V "
"398","range",0.131957823811008,"C106","NOPC","CmDW.V "
"399","sum",57.3833902265266,"C106","NOPC","CmDW.V "
"400","median",0.577310969359886,"C106","NOPC","CmDW.V "
"401","mean",0.573833902265266,"C106","NOPC","CmDW.V "
"402","SE.mean",0.00232858958663665,"C106","NOPC","CmDW.V "
"403","CI.mean.0.95",0.00462042693109205,"C106","NOPC","CmDW.V "
"404","var",0.000542232946299264,"C106","NOPC","CmDW.V "
"405","std.dev",0.0232858958663665,"C106","NOPC","CmDW.V "
"406","coef.var",0.040579505279216,"C106","NOPC","CmDW.V "
"407","nbr.val",100,"C106","NOPC","CmDW_g "
"408","nbr.null",0,"C106","NOPC","CmDW_g "
"409","nbr.na",0,"C106","NOPC","CmDW_g "
"410","min",0.478448173351793,"C106","NOPC","CmDW_g "
"411","max",0.636741806324003,"C106","NOPC","CmDW_g "
"412","range",0.15829363297221,"C106","NOPC","CmDW_g "
"413","sum",59.4818459061108,"C106","NOPC","CmDW_g "
"414","median",0.60369185940449,"C106","NOPC","CmDW_g "
"415","mean",0.594818459061108,"C106","NOPC","CmDW_g "
"416","SE.mean",0.00311533150002824,"C106","NOPC","CmDW_g "
"417","CI.mean.0.95",0.00618149357216718,"C106","NOPC","CmDW_g "
"418","var",0.000970529035506821,"C106","NOPC","CmDW_g "
"419","std.dev",0.0311533150002824,"C106","NOPC","CmDW_g "
"420","coef.var",0.0523744926299974,"C106","NOPC","CmDW_g "
"421","nbr.val",100,"C106","NOPC","CmD_BI_mm "
"422","nbr.null",0,"C106","NOPC","CmD_BI_mm "
"423","nbr.na",0,"C106","NOPC","CmD_BI_mm "
"424","min",0.485361207885828,"C106","NOPC","CmD_BI_mm "
"425","max",0.623500223411327,"C106","NOPC","CmD_BI_mm "
"426","range",0.138139015525499,"C106","NOPC","CmD_BI_mm "
