Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
KMS079,M. sinensis,Korea/N China,36.311,126.933,0.005,0.005,0.012,0.8,0.007,0.158,0.007,0.007
KMS080,M. sinensis,Korea/N China,35.87,127.112,0.186,0.001,0,0.794,0,0.019,0,0
KMS081,M. sinensis,Korea/N China,36.46,127.15,0.044,0.001,0.017,0.907,0.002,0.024,0,0.004
KMS082,M. sinensis,Korea/N China,36.482,127.132,0.066,0.001,0.002,0.917,0.002,0.001,0.009,0.003
KMS083,M. sinensis,Korea/N China,35.318,126.574,0.002,0.001,0.003,0.852,0,0.142,0,0
KMS084,M. sinensis,Korea/N China,37.85,127.733,0.051,0.001,0,0.93,0,0.014,0.003,0
KMS086,M. sinensis,Korea/N China,35.716,126.974,0,0,0.004,0.839,0,0.152,0.001,0.003
KMS087,M. sinensis,Korea/N China,34.997,127.494,0.038,0.001,0,0.956,0.002,0.001,0.001,0
KMS089,M. sinensis,Korea/N China,34.836,127.067,0.002,0.001,0.004,0.838,0.001,0.152,0,0.002
KMS090,M. sinensis,Korea/N China,35.406,127.311,0.1,0.002,0,0.875,0,0.022,0,0
KMS091,M. sinensis,Korea/N China,36.528,126.584,0,0.001,0.002,0.866,0,0.126,0,0.004
KMS092,M. sinensis,Korea/N China,34.634,126.625,0,0,0.001,0.838,0,0.148,0.001,0.011
KMS093,M. sinensis,Korea/N China,37.811,127.772,0.062,0.002,0.005,0.876,0.002,0.048,0.001,0.004
KMS095,M. sinensis,Korea/N China,35.959,127.124,0.092,0.001,0.003,0.891,0,0.012,0,0.001
KMS096,M. sinensis,Korea/N China,35.987,127.087,0.102,0.001,0,0.886,0.001,0.003,0.001,0.005
KMS097,M. sinensis,Korea/N China,35.021,126.682,0,0.004,0.001,0.835,0.001,0.157,0.001,0.001
KMS098,M. sinensis,Korea/N China,35.657,126.936,0.04,0.002,0.03,0.902,0.004,0.02,0.001,0.002
KMS099,M. sinensis,Korea/N China,35.405,126.805,0.003,0.003,0.001,0.782,0,0.187,0.021,0.002
KMS100,M. sinensis,Korea/N China,34.84,126.416,0,0,0.003,0.876,0,0.12,0,0
KMS101,M. sinensis,Korea/N China,35.989,127.102,0.076,0.002,0.001,0.891,0,0.025,0.001,0.003
KMS102,M. sinensis,Korea/N China,35.046,126.83,0.001,0.001,0,0.832,0.001,0.16,0.002,0.003
KMS103,M. sinensis,Korea/N China,35.219,126.491,0,0.001,0.008,0.836,0,0.143,0.005,0.005
KMS104,M. sinensis,Korea/N China,35.342,126.813,0.028,0.001,0.002,0.817,0.002,0.146,0.002,0.002
KMS105,M. sinensis,Korea/N China,35.434,127.424,0.001,0.001,0,0.811,0,0.147,0.004,0.036
KMS107,M. sinensis,Korea/N China,36.3,127.314,0.009,0.002,0.001,0.825,0.001,0.155,0.002,0.004
KMS108,M. sinensis,Korea/N China,38.189,128.014,0.055,0.001,0.001,0.91,0.008,0.015,0.005,0.006
KMS109,M. sinensis,Korea/N China,37.33,127.242,0.043,0.008,0.005,0.933,0,0.003,0.003,0.005
KMS110,M. sinensis,Korea/N China,37.056,126.925,0.035,0.001,0,0.935,0,0.024,0.001,0.004
KMS111,M. sinensis,Korea/N China,37.136,126.896,0.104,0.003,0.001,0.872,0.005,0.01,0.002,0.004
KMS112,M. sinensis,Korea/N China,37.95,128.136,0.074,0.001,0.001,0.915,0.002,0.005,0.001,0
KMS113,M. sinensis,Korea/N China,36.916,127.522,0.049,0.001,0,0.936,0,0.001,0.001,0.011
KMS115,M. sinensis,Korea/N China,36.528,127.503,0.067,0.001,0,0.908,0,0.021,0.001,0.002
KMS116,M. sinensis,Korea/N China,37.001,127.602,0.135,0.005,0.002,0.823,0.003,0.025,0.002,0.006
KMS117,M. sinensis,Korea/N China,36.416,127.672,0.104,0.001,0.001,0.87,0.001,0.018,0.001,0.004
KMS118,M. sinensis,Korea/N China,37.533,128.928,0.036,0.007,0.002,0.903,0.009,0.032,0.01,0
KMS119,M. sinensis,Korea/N China,37.352,128.585,0.059,0.007,0,0.911,0.001,0.012,0.009,0.001
KMS120,M. sinensis,Korea/N China,37.422,128.252,0.052,0.001,0,0.943,0,0.002,0.001,0.001
KMS121,M. sinensis,Korea/N China,37.429,128.349,0.038,0.014,0.003,0.94,0,0.006,0.001,0
KMS123,M. sinensis,Korea/N China,37.481,128.771,0.053,0.001,0,0.904,0,0.036,0.001,0.004
KMS124,M. sinensis,Korea/N China,37.461,127.826,0.045,0.002,0.001,0.915,0,0.031,0.001,0.004
KMS125,M. sinensis,Korea/N China,37.532,127.798,0.05,0.001,0.004,0.919,0,0.018,0.006,0.001
KMS126,M. sinensis,Korea/N China,37.427,128.011,0.045,0,0.001,0.917,0.002,0.031,0.001,0.003
KMS127,M. sinensis,Korea/N China,37.61,127.776,0.042,0,0,0.922,0,0.034,0,0
KMS128,M. sinensis,Korea/N China,37.067,127.724,0.037,0,0.002,0.96,0,0.001,0,0
KMS129,M. sinensis,Korea/N China,37.047,129.046,0.069,0.001,0.001,0.921,0.001,0.003,0.002,0
KMS130,M. sinensis,Korea/N China,37.477,128.241,0.075,0.01,0.009,0.886,0,0.012,0.003,0.004
KMS131,M. sinensis,Korea/N China,37.128,129.172,0.091,0.002,0.005,0.887,0,0.01,0.001,0.004
KMS132,M. sinensis,Korea/N China,37.719,128.857,0.056,0.002,0.003,0.913,0.003,0.016,0.007,0.003
