,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan,Entry1,group,Entry
1001,UI10-00062,Ornamental,NA,NA,0,0,0.4,0.1,0,0.4,0,0,M. sinensis  'Kirk Alexander',M. sinensis,48
1009,UI10-00063,Ornamental,NA,NA,0.1,0,0.2,0.1,0,0.5,0,0,M. sinensis  'Kleine Fontaine',M. sinensis,49
1017,UI10-00064,Ornamental,NA,NA,0.1,0,0.2,0,0.1,0.5,0.1,0,M. sinensis  'Kleine Silberspinne (Little Silver Spider)',M. sinensis,50
1025,UI10-00065,Ornamental,NA,NA,0,0,0.2,0.1,0.1,0.6,0,0,M. sinensis  'Little Kitten',M. sinensis,51
1033,UI10-00066,Ornamental,NA,NA,0,0,0.4,0.1,0,0.4,0,0,M. sinensis  'Little Nickey (syn. Hinjo)',M. sinensis,52
1041,UI10-00067,Ornamental,NA,NA,0,0,0.2,0,0.1,0.5,0.1,0,M. sinensis  'Little Zebra',M. sinensis,53
1049,UI10-00070,Ornamental,NA,NA,0.1,0,0.4,0.1,0,0.4,0.1,0,M. sinensis  'Minuette',M. sinensis,54
1057,UI10-00071,Ornamental,NA,NA,0,0,0.2,0,0,0.6,0,0,M. sinensis  'Morning Light',M. sinensis,55
1065,UI10-00072,Ornamental,NA,NA,0.1,0,0.1,0,0.1,0.3,0.4,0,M. sinensis  'Mt. Washington',M. sinensis,56
1073,UI10-00073,Ornamental,NA,NA,0.1,0,0.3,0.1,0,0.4,0,0,M. sinensis  'Mysterious Maiden',M. sinensis,57
1081,UI10-00074,Ornamental,NA,NA,0.2,0,0.1,0.1,0,0.3,0.2,0,M. sinensis  'Nippon',M. sinensis,58
1089,UI10-00075,Ornamental,NA,NA,0,0,0.3,0.1,0,0.5,0,0,M. sinensis  'November Sunset',M. sinensis,59
1097,UI10-00078,Ornamental,NA,NA,0.1,0,0.3,0.1,0,0.4,0.2,0,M. sinensis  'Puenktchen (Little Dot)',M. sinensis,61
1105,UI10-00079,Ornamental,NA,NA,0,0,0.2,0,0,0.6,0,0,M. sinensis  'Rigoletto',M. sinensis,62
1113,UI10-00080,Ornamental,NA,NA,0,0,0.7,0.1,0,0.1,0,0,M. sinensis  'Roland',M. sinensis,63
1121,UI10-00081,Ornamental,NA,NA,0.1,0,0.1,0.2,0,0.3,0.2,0,M. sinensis  'Roter Pfeil (Red Arrow',M. sinensis,64
1129,UI10-00082,Ornamental,NA,NA,0.1,0,0.2,0.1,0,0.5,0,0,M. sinensis  'Rotsilber',M. sinensis,65
